,index,x,y,radius,angleStart,angleEnd,Rotation,x_start,y_start,x_end,y_end,length,start_node,end_node,speed_limit,adjusted_length
56,A57,0.378,-1.596,0.15,3.1416,1.5708,CW,0.23,-1.61,0.38,-1.45,0.23562,42,126,15,0.015708000461260477
57,A58,0.378,-0.836,0.15,-1.5708,-3.1416,CW,0.38,-0.99,0.23,-0.84,0.23562,39,136,15,0.015708000461260477
58,A59,0.378,-0.846,0.3,-1.5708,-3.1416,CW,0.38,-1.15,0.08,-0.84,0.47124,40,137,15,0.031416000922520955
59,A60,0.378,-0.836,0.46,-3.1416,-1.5708,CCW,-0.07,-0.84,0.38,-1.3,0.722568,43,125,15,0.04817119836807251
60,A61,0.378,-0.836,0.61,-3.1416,-1.5708,CCW,-0.23,-0.84,0.38,-1.45,0.958188,44,126,15,0.06387919982274373
61,A62,-0.382,-1.596,0.61,0.0,1.5708,CCW,0.23,-1.61,-0.38,-0.99,0.958188,42,131,15,0.06387919982274373
62,A63,-0.382,-1.596,0.46,0.0,1.5708,CCW,0.08,-1.61,-0.38,-1.15,0.722568,41,130,15,0.04817119836807251
63,A64,-0.382,-1.596,0.3,1.5708,0.0,CW,-0.38,-1.3,-0.07,-1.6,0.47124,45,120,15,0.031416000922520955
64,A65,-0.382,-1.596,0.15,1.5708,0.0,CW,-0.37,-1.45,-0.23,-1.6,0.23562,46,119,15,0.015708000461260477
65,A66,-0.382,-0.836,0.15,0.0,-1.5708,CW,-0.23,-0.84,-0.38,-0.99,0.23562,44,131,15,0.015708000461260477
66,A67,-0.382,-0.836,0.3,0.0,-1.5708,CW,-0.07,-0.84,-0.38,-1.15,0.47124,43,130,15,0.031416000922520955
67,A68,-0.382,-0.836,0.46,-1.5708,0.0,CCW,-0.38,-1.3,0.08,-0.84,0.722568,45,137,15,0.04817119836807251
68,A69,-0.382,-0.836,0.61,-1.5708,0.0,CCW,-0.37,-1.45,0.23,-0.84,0.958188,46,136,15,0.06387919982274373
69,A70,-1.012,-1.146,0.3,-2.1996,-1.5708,CCW,-1.19,-1.4,-1.01,-1.45,0.18864001,47,129,15,0.012576000889142354
70,A71,-1.622,-2.286,0.99,1.483,1.1233,CW,-1.53,-1.3,-1.19,-1.4,0.3561031,48,47,15,0.023740206162134805
71,A72,-1.802,-1.446,0.15,3.1416,1.5708,CW,-1.95,-1.45,-1.8,-1.29,0.23562,49,132,15,0.015708000461260477
72,A73,-1.802,-1.446,0.3,1.5708,3.1416,CCW,-1.81,-1.15,-2.11,-1.45,0.47124,50,117,15,0.031416000922520955
73,A74,-1.802,-0.986,0.3,-3.1416,-1.5708,CCW,-2.11,-0.99,-1.8,-1.29,0.47124,51,132,15,0.031416000922520955
74,A75,-1.802,-0.986,0.15,-1.5708,-3.1416,CW,-1.81,-1.15,-1.95,-0.99,0.23562,50,134,15,0.015708000461260477
75,A76,-1.622,-0.156,0.99,-1.1233,-1.483,CW,-1.19,-1.06,-1.54,-1.15,0.3561031,52,133,15,0.023740206162134805
76,A77,-1.012,-1.296,0.3,1.5708,2.1996,CCW,-1.02,-0.99,-1.19,-1.06,0.18864001,53,52,15,0.012576000889142354
77,A78,1.168,-0.536,0.46,-1.5708,-3.1416,CW,1.17,-0.99,0.71,-0.54,0.722568,54,140,15,0.04817119836807251
78,A79,3.568,-0.206,0.95,3.1416,2.5932,CW,2.62,-0.21,2.76,0.29,0.52097994,55,57,15,0.03473199605941772
79,A80,3.568,-0.206,1.1,3.1416,2.5932,CW,2.47,-0.2,2.63,0.37,0.60323995,56,58,15,0.040215996901194255
80,A81,2.238,0.614,0.61,-0.5484,1.5708,CCW,2.76,0.29,2.24,1.22,1.292712,57,63,15,0.08618079821268718
81,A82,2.238,0.614,0.46,-0.5484,1.5708,CCW,2.63,0.37,2.24,1.07,0.974832,58,64,15,0.0649887998898824
82,A83,2.238,0.614,0.46,-1.9801,-0.5484,CCW,2.06,0.19,2.63,0.37,0.65858203,59,58,15,0.04390546878178914
83,A85,1.878,-0.206,0.43,1.1615,0.0,CW,2.06,0.19,2.31,-0.2,0.499445,59,143,15,0.03329633275667827
84,A86,1.878,-0.206,0.28,1.1615,0.0,CW,2.0,0.05,2.16,-0.21,0.32522,60,144,15,0.021681332588195802
85,A87,2.238,0.614,0.61,-2.8208,-1.9801,CCW,1.66,0.4,2.0,0.05,0.51282704,61,60,15,0.03418846925099691
86,A88,2.238,0.614,0.46,-2.8728,-1.9801,CCW,1.8,0.48,2.06,0.19,0.41064203,62,59,15,0.02737613519032796
87,A89,2.238,0.614,0.61,1.5708,3.4617,CCW,2.24,1.22,1.66,0.4,1.153449,63,61,15,0.07689660390218099
88,A90,2.238,0.614,0.46,1.5708,3.4104,CCW,2.24,1.07,1.8,0.48,0.846216,64,62,15,0.05641440153121948
89,A91,1.158,0.224,0.53,1.5708,0.3398,CW,1.12,0.76,1.66,0.4,0.65242994,65,61,15,0.04349532922108968
90,A92,1.158,0.224,0.69,1.476,0.3869,CW,1.22,0.91,1.8,0.48,0.7514789,66,62,15,0.05009859402974447
91,A93,1.168,0.304,0.46,3.1416,1.676,CW,0.71,0.3,1.12,0.76,0.674176,67,65,15,0.04494506518046061
92,A94,0.688,0.304,0.46,3.1416,1.6781,CW,0.23,0.3,0.71,0.76,0.67320997,68,145,15,0.044880664348602294
93,A95,0.688,0.304,0.61,3.1416,1.5083,CW,0.08,0.3,0.73,0.91,0.996313,69,146,15,0.06642086505889892
94,A96,-0.695,0.304,0.61,1.5062,0.0,CW,-0.64,0.91,-0.07,0.31,0.918782,70,138,15,0.061252133051554365
95,A97,-0.682,0.304,0.46,1.5139,0.0,CW,-0.66,0.76,-0.22,0.3,0.696394,71,139,15,0.046426268418629964
96,A98,-0.872,0.204,0.71,3.0248,1.5708,CW,-1.58,0.28,-0.87,0.91,1.03234,72,148,15,0.06882266998291016
97,A99,-0.872,0.204,0.56,3.0123,1.5708,CW,-1.43,0.27,-0.87,0.76,0.80724007,73,147,15,0.05381600459416707
98,A100,-2.032,0.354,0.61,-0.9467,-0.1307,CCW,-1.67,-0.15,-1.43,0.27,0.49776,74,73,15,0.03318399985631307
99,A101,-2.032,0.354,0.61,-2.2007,-0.9467,CCW,-2.39,-0.15,-1.67,-0.15,0.7649401,75,74,15,0.05099600553512573
100,A102,-1.282,-0.686,0.67,3.1416,2.1949,CW,-1.95,-0.69,-1.67,-0.15,0.6342889,76,74,15,0.04228592713673909
101,A103,-2.782,-0.686,0.67,0.9467,0.0,CW,-2.39,-0.15,-2.11,-0.69,0.634289,75,135,15,0.04228593508402507
102,A104,-2.032,0.354,0.46,1.8808,6.1326,CCW,-2.17,0.79,-1.58,0.28,1.9558278,77,72,15,0.13038852214813232
103,A105,-2.032,0.354,0.61,1.9628,4.0883,CCW,-2.26,0.91,-2.39,-0.15,1.2965552,78,75,15,0.08643701076507568
104,A106,-0.762,-2.696,3.91,1.619,1.9659,CCW,-0.87,1.22,-2.26,0.91,1.356379,79,78,15,0.09042526880900065
105,A107,-0.762,-2.696,3.76,1.6006,1.9551,CCW,-0.87,1.06,-2.17,0.79,1.3329202,80,77,15,0.08886134624481201
106,A1081,-2.032,0.354,0.61,-0.1307,0.395,CCW,-1.43,0.27,-1.47,0.58,0.32067704,73,81,15,0.021378469467163087
107,A1082,-2.032,0.354,0.61,0.395,1.186,CCW,-1.47,0.58,-1.8,0.92,0.48250997,81,82,15,0.032167331377665205
108,A1083,-2.032,0.354,0.61,1.186,1.9628,CCW,-1.8,0.92,-2.26,0.91,0.47384804,82,78,15,0.03158986965815226
109,A109,-2.032,0.354,0.46,-0.1506,1.8808,CCW,-1.58,0.28,-2.17,0.79,0.934444,72,77,15,0.06229626735051473
110,A110,2.118,-3.646,0.35,0.1107,1.4601,CCW,2.47,-3.69,2.16,-3.3,0.47229,83,104,15,0.031486000617345175
111,A111,2.118,-3.646,0.19,1.3734,0.1974,CW,2.16,-3.46,2.31,-3.61,0.22343999,10,9,15,0.014895999431610107
112,A112,-0.912,-3.146,0.15,-1.5708,-3.1416,CW,-0.91,-3.3,-1.06,-3.15,0.23562,84,109,15,0.015708000461260477
113,A113,-1.372,-3.146,0.15,0.0,-1.5708,CW,-1.22,-3.15,-1.37,-3.3,0.23562,85,99,15,0.015708000461260477
114,A114,-0.072,-2.086,0.3,-0.6288,0.0,CCW,0.18,-2.27,0.23,-2.09,0.18864,86,121,15,0.012575999895731608
115,A115,1.068,-2.696,0.99,3.0538,2.6941,CW,0.08,-2.61,0.18,-2.27,0.3561032,87,86,15,0.023740214109420777
116,A116,-1.062,-2.696,0.99,0.4475,0.0878,CW,-0.16,-2.27,-0.07,-2.6,0.356103,88,108,15,0.02374020020167033
117,A117,0.078,-2.086,0.3,-3.1416,-2.5128,CCW,-0.23,-2.08,-0.16,-2.27,0.18863998,89,88,15,0.012575998902320862
118,A118,-0.6432703,0.17842542,0.58098125,1.559731,0.21927208,CW,-0.66,0.76,-0.07,0.31,0.7787815,71,138,15,0.05191876490910848
119,A119,0.6385138,0.1842918,0.57508177,2.9304783,1.573704,CW,0.08,0.3,0.71,0.76,0.78025615,69,145,15,0.052017076810201006
120,A120,2.2352,0.6096,0.6096,-2.000539,-1.6810795,CCW,2.0,0.05,2.17,-0.0,0.19474255,60,90,15,0.012982836365699768
121,A121,2.2352,0.6096,0.6096,-1.6810795,-0.5483349,CCW,2.17,-0.0,2.76,0.29,0.69052106,90,57,15,0.046034737428029375
122,A122,2.0903776,-0.2032,0.22102253,1.211427,0.0,CW,2.17,-0.0,2.31,-0.2,0.26775265,90,143,15,0.017850176493326823
